ISBN,ISBN13 (Formatted),Author (SN/FN),Work Author on Cover,Work Cover Title,Work Sub Title,Edition Original Language,Edition Binding,Edition Discount Type,Published Price,Region Pricing: UK (UK),Region Pricing: Europe (EU),Edition Group Titles: Series,Edition Extent,Edition Illustration Details,Edition Format,Pub Date Year,Edition Group Titles: BISAC,Edition Territory,Group Code: BISAC/1,Group Code: BISAC/2,Group Code: BISAC/3,,,,
674990064,9780674990067,"Appian, ",Appian,"Roman History, Volume IV","The Civil Wars, Books 3.27-5","Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,688,Index,4-1/4 x 6-3/8,1913,"HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical",World,HIS002020,LIT004190,,,,,
674990072,9780674990074,"Catullus, ,Tibullus, ",Catullus and Tibullus,Catullus. Tibullus. Pervigilium Veneris,,Latin,Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,400,Indexes,4-1/4 x 6-3/8,1913,LITERARY CRITICISM / Ancient & Classical,World,LIT004190,,,,,,
674990161,9780674990166,"Petronius, ,Seneca, ",Petronius and Seneca,Satyricon. Apocolocyntosis,,Latin,Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,544,Indexes,4-1/4 x 6-3/8,1913,"LITERARY COLLECTIONS / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical",World,LCO003000,LIT004190,,,,,
674990145,9780674990142,"Julian, ",Julian,"Julian, Volume I",Orations 1–5,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,528,Index,4-1/4 x 6-3/8,1913,"HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical",World,HIS002020,LIT004190,,,,,
674990323,9780674990326,"Julian, ",Julian,"Julian, Volume II","Orations 6–8. Letters to Themistius, To the Senate and People of Athens, To a Priest. The Caesars. Misopogon","Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,528,Index,4-1/4 x 6-3/8,1913,"HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical",World,HIS002020,LIT004190,,,,,
674990331,9780674990333,"Cicero, ",Cicero,On Duties,,Latin,Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,448,Index,4-1/4 x 6-3/8,1913,"PHILOSOPHY / History & Surveys / Ancient & Classical,HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical",World,PHI002000,HIS002020,LIT004190,,,,
674990153,9780674990159,"Lucian, ",Lucian,Phalaris. Hippias or The Bath. Dionysus. Heracles. Amber or The Swans. The Fly. Nigrinus. Demonax. The Hall. My Native Land. Octogenarians. A True Story. Slander. The Consonants at Law. The Carousal (Symposium) or The Lapiths,,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,496,Index,4-1/4 x 6-3/8,1913,LITERARY CRITICISM / Ancient & Classical,World,LIT004190,,,,,,
674990579,9780674990579,"Xenophon, ",Xenophon,"Cyropaedia, Volume I",Books 1-4,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,416,none,4-1/4 x 6-3/8,1914,"PHILOSOPHY / History & Surveys / Ancient & Classical,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,PHI002000,HIS002010,LIT004190,,,,
674990536,9780674990531,"Plutarch, ",Plutarch,"Lives, Volume II",Themistocles and Camillus. Aristides and Cato Major. Cimon and Lucullus,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,640,Index,4-1/4 x 6-3/8,1914,"HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,LIT004190,,,,,
674990412,9780674990418,"Dio Cassius, ",Dio Cassius,"Roman History, Volume II",Books 12-35,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,528,Index to vols. 1-2,4-1/4 x 6-3/8,1914,"HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical",World,HIS002020,LIT004190,,,,,
